#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,1.539590,2.287886,0.000000,3.758468,3.316197,0.047658,12.377221
0.000000,0.000000,1.995781,2.105496,0.000000,1.326689,2.883142,0.394604,12.407050
0.000000,0.000000,1.996747,2.194770,0.000000,1.882392,3.203804,0.407299,9.861785
0.000000,0.000000,1.485877,2.105844,0.000000,1.703588,4.259219,0.411249,10.230303
0.000000,0.000000,1.645388,2.240565,0.000000,2.687111,4.763516,0.064667,11.610328
0.000000,0.000000,1.806783,2.279130,0.000000,2.429879,3.274870,0.431585,12.992144
0.000000,0.000000,1.711703,2.191880,0.000000,1.992633,3.813761,0.088297,11.285023
0.000000,0.000000,1.957441,2.188121,0.000000,1.410147,3.314981,0.050637,11.326771
0.000000,0.000000,1.547547,2.127919,0.000000,1.685938,3.206529,0.517088,9.636628
0.000000,0.000000,1.504605,2.263532,0.000000,2.856285,4.128340,0.053945,10.490655
0.000000,0.000000,2.581430,2.133901,0.000000,1.615420,3.688508,0.057316,13.129622
0.000000,0.000000,2.070622,2.214172,0.000000,1.672398,3.289955,0.061815,10.933496
0.000000,0.000000,2.613549,2.146554,0.000000,1.230371,2.800520,0.647014,11.018348
0.000000,0.000000,1.586780,4.556784,0.000000,2.461059,3.859321,0.059490,12.134696
0.000000,0.000000,1.951395,4.305163,0.000000,1.917223,3.662626,0.058326,13.864799
0.000000,0.000000,1.576741,3.120772,0.000000,1.436932,3.319270,0.062400,11.557036
0.000000,0.000000,1.619563,2.561369,0.000000,1.258665,3.160485,0.058359,10.221867
0.000000,0.000000,1.537244,2.136550,0.000000,1.021273,2.646521,0.608162,9.351745
